幹部,籌備期,團練期,未來校友團協助？,表單
總召,,,,
副召（人事）,找人、聯絡分部長,記錄出缺席,人事：團務分部長,"請假表單
出席表單"
音總,開曲目、編制清單、樂器清單、借樂器（音樂組→春頤、外校）、曲目介紹,協助帶團練,音總：曲目,
公關,企劃贊助（過年前）、個人贊助,,公關？,
票務,簽約（決定票價、座位、優惠）、宣傳買票流程,團員票、寄票？（規則、現場）,,"購票表單
寄票表單"
譜務,購譜換譜、電子化、分送各分部,臨時印譜、安可,譜務？？？,
宣傳,宣傳企劃、倒數文？,,,
總務,需要錢就聯絡總務,團費、DVD收錢,財務：收團費,
庶務,協演與指揮住宿,建立統計表單,,
文書,,,文書？,
場務,,,,
其他,整理對外文件,,,"幹部通訊錄
演出名冊
回饋單"
